Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2369.0639882087708	46	161.692764528	73.0323745236	247.46658564	-79.1667134044	283.1875	219.703808467	40779	1887957
2425.0889875888824	47	124.489700129	99.7548122765	246.860253347	-93.8063143826	384.266666667	320.979728381	40348	1928305
2487.698703765869	48	115.07017853	106.108546362	231.341781982	-170.469818933	422.739583333	347.176505445	40583	1968888
2548.3665466308594	49	121.985569034	108.541513068	254.440298113	-250.967343723	367.054545455	321.252826981	40376	2009264
2609.3396093845367	50	118.852959215	98.8404396934	227.572238947	-102.296439721	393.922330097	344.207199095	40574	2049838
2663.273117542267	51	126.119631102	96.4059428667	237.973196625	-84.9837863126	328.040983607	305.062702438	40021	2089859
2717.6767568588257	52	125.60559988	101.649812328	248.126126833	-255.095489821	310.076335878	288.861640942	40620	2130479
2770.8621616363525	53	139.470978836	89.9251738185	245.462177108	-69.4860616068	326.512195122	296.346626473	40161	2170640
2819.9748866558075	54	136.45818531	94.3596387145	246.035551859	-208.446475682	269.761589404	256.435621411	40734	2211374
2861.634936094284	55	154.724572887	85.510930962	260.468888919	-108.593401064	223.653631285	182.540154382	40034	2251408
2899.5930213928223	56	158.958883084	80.2684212277	249.257200792	-81.5017437952	206.597938144	154.960397987	40080	2291488
2934.612551212311	57	169.064831779	71.7612657965	253.459529328	-81.6405019292	191.751196172	100.848910207	40076	2331564
2970.789839029312	58	164.7611268	74.3880799038	273.625854462	-97.7258983175	197.428571429	120.783601517	40078	2371642
3005.7438888549805	59	176.006693078	67.4385425445	262.080008613	-233.768159755	200.365	102.100841206	40073	2411715
3039.3415381908417	60	180.397768463	54.0035161704	263.208360729	-111.396678346	196.745098039	62.2102201859	40136	2451851
3075.366814851761	61	170.395384006	78.912895884	253.780966607	-345.508486644	205.408163265	105.596588606	40260	2492111
3108.894984483719	62	186.431303029	41.0503096874	254.489273867	-69.7655331026	201.43718593	65.5558745465	40086	2532197
3145.087422847748	63	185.04520851	52.104027794	258.319959612	-74.9223589475	206.860824742	102.14880096	40131	2572328
3180.410297870636	64	187.467056384	48.5059782442	263.331658033	-92.9155698888	209.319587629	108.244334762	40608	2612936
3214.8690428733826	65	189.663174938	46.6957275634	266.848137109	-22.1486159873	207.383419689	104.820241562	40025	2652961
3253.031571626663	66	186.134883212	59.280312594	271.298707801	-93.0515083286	220.659340659	158.272384475	40160	2693121
3291.36474609375	67	192.978839588	48.6750221341	261.686155725	-102.855791865	211.089473684	140.034459649	40107	2733228
3328.6629526615143	68	174.741425081	74.0382949009	258.701245263	-128.86625258	209.492146597	145.622867613	40013	2773241
3378.845621585846	69	163.013058429	87.7054416036	260.263503293	-274.437809119	273.905405405	261.152754767	40538	2813779
3425.897866487503	70	162.008904338	85.6350804021	268.160606401	-242.115716657	260.74025974	240.679174426	40154	2853933
3470.3228707313538	71	177.99194713	65.1424440315	271.951535569	-102.060972583	232.057142857	211.570527634	40610	2894543
3513.4001791477203	72	169.60184591	74.2257844409	263.102657471	-93.7552626918	220.038461538	193.52622463	40047	2934590
3550.101428747177	73	185.062444321	54.1499752784	263.948054041	-106.694328516	185.211981567	110.117872515	40191	2974781
3583.488063812256	74	185.011419273	63.8518266535	260.974769024	-220.258668858	177.955752212	79.0044682707	40218	3014999
3620.119742870331	75	176.023690746	77.3193285429	262.405574317	-146.926976543	180.445945946	103.262432477	40059	3055058
3653.0250017642975	76	181.596355742	71.0139835251	261.412086565	-201.958690273	174.27826087	64.3377700721	40084	3095142
3685.480691432953	77	185.862221595	57.7738843257	266.832327396	-240.279347251	173.826839827	60.5809205743	40154	3135296
3719.183649778366	78	184.771885443	64.588874094	263.935387611	-133.074993991	178.808035714	81.5062647005	40053	3175349
3756.0040221214294	79	179.187654729	66.0702480491	273.226538833	-100.464726701	187.384259259	126.996593467	40475	3215824
3789.611961364746	80	187.776564041	59.2335130075	260.728139171	-179.676114345	170.541666667	79.2270361928	40930	3256754
3822.299302816391	81	182.837538745	60.8549514	260.176091652	-135.757813861	168.793248945	78.9648981782	40004	3296758
3859.7511372566223	82	186.427583214	60.9631297167	257.169402609	-278.594460183	178.580357143	114.445412627	40002	3336760
3894.3848264217377	83	189.300837126	50.1236681241	249.027417877	-72.8893215461	174.96069869	96.7856463403	40066	3376826
3926.408999443054	84	183.669723106	61.760792292	270.961983776	-93.9136211084	166.970833333	58.4965382107	40073	3416899
3957.718686580658	85	180.945113558	65.1831948114	266.527833884	-128.179448847	163.383673469	21.2347361453	40029	3456928
3991.0830731391907	86	181.239876652	61.1397989675	252.809158756	-199.463907524	174.890829694	95.6407550195	40050	3496978
4031.2837982177734	87	175.68131254	70.9096946363	254.796153364	-286.519084117	230.0	224.786054094	40020	3536998
4070.946650981903	88	163.819434216	76.8052792545	259.388217979	-156.662475013	210.689473684	203.533427734	40031	3577029
4109.93136382103	89	170.132060113	70.5244943095	257.109984032	-337.375163118	213.069148936	196.576958308	40057	3617086
4155.3651649951935	90	155.930389054	77.0389830861	265.605951609	-140.253754885	264.545454545	270.699960682	40740	3657826
4195.053289175034	91	160.62859029	87.3457639835	266.517335775	-374.645323495	208.795918367	190.737369346	40924	3698750
4232.396206617355	92	169.692413393	68.9901364089	253.247284898	-121.586527207	207.615384615	187.964510478	40485	3739235
4266.349435806274	93	175.910590631	73.1243924386	252.618870402	-362.929123058	175.371179039	112.511842167	40160	3779395
4297.726180791855	94	193.741093315	35.2067430417	256.124459451	-92.8772330663	161.951417004	27.6589566435	40002	3819397
4328.760340213776	95	190.730936892	51.1913234898	266.973656505	-270.919108826	157.035294118	15.280730189	40044	3859441
4359.8591957092285	96	193.813459703	39.4528723449	268.639066965	-108.949552393	158.577075099	16.3518316818	40120	3899561
4390.918349027634	97	180.491431324	62.2058407878	261.216977378	-157.678299253	154.776061776	17.2088030341	40087	3939648
4422.768501520157	98	176.318393859	73.6003949382	261.45065294	-161.125486488	163.371428571	37.5270895352	40026	3979674
4454.670099258423	99	177.257826665	74.3315463306	277.206527772	-274.424395289	163.963265306	28.5043977551	40171	4019845
